year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_eligibility,primary_denominator,analysis_value
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,4001,Apache County,ARIZONA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"1,000-4,999",51
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,4003,Cochise County,ARIZONA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",23
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,4005,Coconino County,ARIZONA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"1,000-4,999",45
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,4007,Gila County,ARIZONA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",54
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,4009,Graham County,ARIZONA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",61
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,4012,La Paz County,ARIZONA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",55
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,4013,Maricopa County,ARIZONA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"1,000-4,999",49
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,4015,Mohave County,ARIZONA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",43
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,4017,Navajo County,ARIZONA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"1,000-4,999",49
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,4019,Pima County,ARIZONA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"500-999",55
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,4021,Pinal County,ARIZONA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",63
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,4025,Yavapai County,ARIZONA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",40
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,4027,Yuma County,ARIZONA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",42
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,5005,Baxter County,ARKANSAS,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",0
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,5007,Benton County,ARKANSAS,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",26
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,5033,Crawford County,ARKANSAS,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",32
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,5051,Garland County,ARKANSAS,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",14
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,5081,Little River County,ARKANSAS,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",33
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,5087,Madison County,ARKANSAS,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",36
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,5113,Polk County,ARKANSAS,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",40
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,5119,Pulaski County,ARKANSAS,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",41
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,5131,Sebastian County,ARKANSAS,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",26
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,5143,Washington County,ARKANSAS,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",33
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6001,Alameda County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",28
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6005,Amador County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",38
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6007,Butte County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",34
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6009,Calaveras County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",32
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6011,Colusa County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",50
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6013,Contra Costa County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",37
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6015,Del Norte County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",32
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6017,El Dorado County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",24
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6019,Fresno County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",38
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6021,Glenn County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",33
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6023,Humboldt County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",30
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6025,Imperial County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",60
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6027,Inyo County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",36
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6029,Kern County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",41
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6031,Kings County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",68
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6033,Lake County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",42
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6035,Lassen County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",45
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6037,Los Angeles County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",36
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6039,Madera County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",36
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6043,Mariposa County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",49
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6045,Mendocino County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",38
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6047,Merced County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",35
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6049,Modoc County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",56
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6051,Mono County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",47
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6053,Monterey County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",22
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6055,Napa County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",0
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6057,Nevada County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",15
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6059,Orange County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",39
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6061,Placer County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",32
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6063,Plumas County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",31
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6065,Riverside County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",39
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6067,Sacramento County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",33
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6071,San Bernardino County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",40
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6073,San Diego County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",38
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6075,San Francisco County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",31
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6077,San Joaquin County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",28
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6079,San Luis Obispo County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",35
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6083,Santa Barbara County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",36
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6085,Santa Clara County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",46
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6089,Shasta County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",38
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6093,Siskiyou County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",28
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6095,Solano County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",35
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6097,Sonoma County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",36
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6099,Stanislaus County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",33
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6101,Sutter County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",30
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6103,Tehama County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",28
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6105,Trinity County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",27
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6107,Tulare County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",35
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6109,Tuolumne County,CALIFORNIA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",28
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6111,Ventura County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",37
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6113,Yolo County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",32
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,6115,Yuba County,CALIFORNIA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",32
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,8001,Adams County,COLORADO,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",55
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,8005,Arapahoe County,COLORADO,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",38
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,8013,Boulder County,COLORADO,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",18
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,8031,Denver County,COLORADO,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",20
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,8035,Douglas County,COLORADO,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",36
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,8041,El Paso County,COLORADO,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",39
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,8059,Jefferson County,COLORADO,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",32
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,8067,La Plata County,COLORADO,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",45
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,8069,Larimer County,COLORADO,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",24
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,8077,Mesa County,COLORADO,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",32
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,8083,Montezuma County,COLORADO,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",43
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,8101,Pueblo County,COLORADO,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",40
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,8123,Weld County,COLORADO,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",36
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,9011,New London County,CONNECTICUT,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",43
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,10005,Sussex County,DELAWARE,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",33
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12009,Brevard County,FLORIDA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",44
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12011,Broward County,FLORIDA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",59
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12021,Collier County,FLORIDA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",63
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12031,Duval County,FLORIDA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",37
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12033,Escambia County,FLORIDA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",46
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12051,Hendry County,FLORIDA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",63
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12057,Hillsborough County,FLORIDA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",38
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12069,Lake County,FLORIDA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",31
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12071,Lee County,FLORIDA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",38
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12081,Manatee County,FLORIDA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",23
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12083,Marion County,FLORIDA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",57
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12086,Miami-Dade County,FLORIDA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",35
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12091,Okaloosa County,FLORIDA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",36
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12093,Okeechobee County,FLORIDA,Rural,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",65
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12095,Orange County,FLORIDA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",48
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12099,Palm Beach County,FLORIDA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",34
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12101,Pasco County,FLORIDA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",59
2019,County,Prevalence,Unsmoothed actual,Base measure,Primary chronic conditions,"Diabetes",All,All,Medicare only,12103,Pinellas County,FLORIDA,Urban,American Indian/Alaska native,Old Age / Survivor's Insurance,"11-499",32
